Date,Close Price,Open Price,Low Price,High Price
2024-04-01,960.25,965.5,955.75,970.0
2024-04-02,965.75,960.0,955.25,970.5
2024-04-03,970.5,975.0,965.25,978.0
2024-04-04,972.25,970.25,965.75,975.5
2024-04-05,974.0,975.5,970.25,978.25
2024-04-06,975.75,977.0,973.5,980.0
2024-04-07,973.5,975.75,970.0,977.25
2024-04-08,972.75,975.0,970.25,976.0
2024-04-09,975.25,973.0,968.75,977.0
2024-04-10,978.5,977.25,973.0,981.0
2024-04-11,982.25,980.5,976.75,985.0
2024-04-12,986.0,982.75,978.5,988.25
2024-04-13,989.75,987.25,983.0,992.0
2024-04-14,993.25,991.0,988.25,996.5
2024-04-15,996.5,994.0,991.75,998.75
2024-04-16,999.0,997.0,994.25,1002.5
2024-04-17,1002.75,1001.0,998.25,1005.0
2024-04-18,1005.25,1003.0,1000.25,1008.5
2024-04-19,1007.75,1006.5,1003.75,1010.25
2024-04-20,1010.0,1008.0,1005.25,1012.75
2024-04-21,1013.25,1011.25,1008.5,1015.5
2024-04-22,1016.5,1014.0,1010.25,1018.75
2024-04-23,1019.0,1017.25,1014.5,1022.0
2024-04-24,1021.25,1020.0,1017.5,1023.75
2024-04-25,1023.75,1022.25,1020.0,1026.5
2024-04-26,1025.5,1024.0,1021.75,1028.75
2024-04-27,1027.75,1026.0,1023.25,1030.25
2024-04-28,1030.25,1028.5,1026.0,1032.5
2024-04-29,1033.0,1031.0,1028.25,1035.25
2024-04-30,1035.5,1034.0,1031.25,1037.75
